Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Embarked_C,Embarked_Q
0,2,66.0,0,0,10.5,0,0,0
0,2,39.0,0,0,13.0,0,0,0
0,3,21.0,0,0,7.8542,0,0,0
0,3,28.0,0,0,9.5,0,0,0
0,3,30.0,0,0,8.05,0,0,0
1,2,54.0,1,3,23.0,1,0,0
1,2,7.0,0,2,26.25,1,0,0
1,3,0.75,2,1,19.2583,1,1,0
1,3,32.0,0,0,56.4958,0,0,0
1,2,50.0,0,0,10.5,1,0,0
0,2,25.0,1,2,41.5792,0,1,0
0,3,35.0,0,0,7.8958,0,1,0
1,3,22.0,0,0,7.25,1,0,0
0,3,29.0,0,0,7.775,0,0,0
1,1,28.897346368715084,0,0,79.2,1,1,0
1,1,22.0,1,0,66.6,1,0,0
0,1,40.0,0,0,0.0,0,0,0
1,1,22.0,0,1,55.0,1,0,0
0,1,47.0,0,0,25.5875,0,0,0
0,3,51.0,0,0,7.75,0,0,0
0,3,11.0,0,0,18.7875,0,1,0
1,3,30.0,0,0,12.475,1,0,0
0,3,25.0,0,0,7.05,0,0,0
1,1,34.0,0,0,26.55,0,0,0
1,2,33.0,0,2,26.0,1,0,0
0,3,30.5,0,0,8.05,0,0,0
0,3,34.0,0,0,8.05,0,0,0
0,3,29.0,0,4,21.075,1,0,0
0,3,45.5,0,0,7.225,0,1,0
1,3,32.0,0,0,7.8542,0,0,0
1,3,30.0,0,0,9.5,0,0,0
0,3,24.0,1,0,16.1,0,0,0
0,3,11.0,5,2,46.9,0,0,0
0,2,18.0,0,0,73.5,0,0,0
0,1,28.897346368715084,0,0,26.0,0,0,0
1,2,41.0,0,1,19.5,1,0,0
1,2,42.0,1,0,26.0,1,0,0
1,2,28.0,0,0,13.0,1,0,0
0,2,54.0,0,0,26.0,0,0,0
1,1,30.0,0,0,56.9292,1,1,0
1,2,1.0,0,2,37.0042,0,1,0
0,2,28.897346368715084,0,0,0.0,0,0,0
1,2,27.0,1,0,13.8583,1,1,0
1,1,28.897346368715084,0,0,30.5,0,0,0
0,3,28.897346368715084,1,0,7.75,0,0,1
0,2,27.0,0,0,13.0,0,0,0
0,3,28.897346368715084,0,0,7.55,1,0,0
0,2,23.0,0,0,13.0,0,0,0
1,2,35.0,0,0,21.0,1,0,0
0,3,33.0,0,0,9.5,0,0,0
1,1,26.0,0,0,30.0,0,1,0
0,2,52.0,0,0,13.5,0,0,0
0,3,43.0,1,6,46.9,1,0,0
0,2,47.0,0,0,15.0,0,0,0
1,3,28.897346368715084,0,0,7.75,1,0,1
1,1,39.0,1,1,110.8833,1,1,0
1,1,36.0,0,2,71.0,1,0,0
0,2,31.0,1,1,26.25,0,0,0
0,3,28.897346368715084,0,0,7.8958,0,0,0
0,3,17.0,0,0,8.6625,0,0,0
0,3,28.897346368715084,0,0,56.4958,0,0,0
0,2,32.5,1,0,30.0708,0,1,0
0,3,28.897346368715084,0,0,9.5,0,0,0
1,1,48.0,1,0,76.7292,0,1,0
0,3,14.0,5,2,46.9,0,0,0
0,2,34.0,1,0,21.0,0,0,0
1,1,35.0,1,0,90.0,1,0,0
1,1,28.897346368715084,0,0,30.0,0,0,0
0,3,22.0,0,0,7.25,0,0,0
0,3,36.0,0,0,7.8958,0,0,0
0,1,42.0,1,0,52.0,0,0,0
1,1,35.0,0,0,512.3292,1,1,0
0,2,42.0,0,0,13.0,0,0,0
0,3,22.0,0,0,7.2292,0,1,0
1,1,45.0,1,1,164.8667,1,0,0
0,3,29.0,0,0,8.05,0,0,0
0,3,30.0,0,0,8.05,0,0,0
0,3,18.0,0,0,7.75,0,0,0
0,3,17.0,0,0,7.125,0,0,0
1,2,6.0,0,1,33.0,1,0,0
0,2,19.0,0,0,13.0,0,0,0
1,3,1.0,1,2,20.575,0,0,0
1,3,16.0,0,0,8.05,0,0,0
0,3,24.5,0,0,8.05,0,0,0
1,3,15.0,0,0,8.0292,1,0,1
0,3,24.0,0,0,7.05,0,0,0
1,2,5.0,1,2,27.75,1,0,0
0,3,1.0,4,1,39.6875,0,0,0
0,1,45.0,1,0,83.475,0,0,0
1,1,54.0,1,0,59.4,1,1,0
1,1,33.0,1,0,90.0,1,0,1
0,3,28.897346368715084,0,0,8.6625,0,0,0
0,3,30.0,0,0,7.225,0,1,0
1,1,42.0,1,0,52.5542,0,0,0
0,1,25.0,1,2,151.55,1,0,0
0,3,48.0,1,3,34.375,1,0,0
0,3,28.897346368715084,0,0,7.8958,0,0,0
1,3,24.0,0,3,19.2583,1,1,0
0,2,28.0,0,0,13.5,0,0,0
0,3,28.897346368715084,2,0,21.6792,0,1,0
0,3,8.0,3,1,21.075,1,0,0
0,3,4.0,4,2,31.275,0,0,0
1,2,8.0,0,2,26.25,1,0,0
1,1,39.0,1,1,79.65,1,0,0
1,1,23.0,3,2,263.0,1,0,0
1,3,28.897346368715084,1,0,15.5,1,0,1
1,1,27.0,0,0,30.5,0,0,0
1,2,0.83,0,2,29.0,0,0,0
1,1,56.0,0,1,83.1583,1,1,0
0,3,28.897346368715084,0,2,15.2458,1,1,0
0,2,57.0,0,0,10.5,1,0,0
1,3,22.0,0,0,7.75,1,0,1
1,1,50.0,2,0,133.65,0,0,0
0,1,31.0,1,0,52.0,0,0,0
1,3,39.0,0,0,7.925,0,0,0
1,1,28.897346368715084,1,0,52.0,1,0,0
0,3,16.0,2,0,18.0,0,0,0
0,1,28.897346368715084,0,0,27.7208,0,1,0
0,3,28.897346368715084,0,0,7.75,0,0,1
1,3,28.897346368715084,0,0,7.75,1,0,1
0,1,45.0,0,0,35.5,0,0,0
0,3,27.0,1,0,14.4542,0,1,0
1,3,20.0,1,1,15.7417,0,1,0
1,1,30.0,0,0,106.425,1,1,0
0,3,28.897346368715084,0,0,15.1,0,0,0
0,3,28.0,0,0,9.5,0,0,0
1,2,55.0,0,0,16.0,1,0,0
0,3,42.0,0,0,7.55,0,0,0
0,1,28.897346368715084,0,0,227.525,0,1,0
0,3,28.897346368715084,0,0,7.8958,0,0,0
0,2,32.0,0,0,10.5,0,0,0
1,3,26.0,0,0,18.7875,0,1,0
